language,rank,repo,skill_count,stars,forks,commits,contributors
JavaScript,19,agent-sh/agentsys,30,484,46,,
JavaScript,20,ahmed3elshaer/everything-claude-code-mobile,29,27,1,,
JavaScript,21,popup-studio-ai/bkit-gemini,29,30,8,,
JavaScript,22,popup-studio-ai/bkit-claude-code,28,301,78,,
JavaScript,23,shinpr/ai-coding-project-boilerplate,28,173,17,,
JavaScript,24,CloudToLocalLLM-online/CloudToLocalLLM,25,18,3,,
JavaScript,25,LowyShin/giip-dev-agent,25,25,3,,
JavaScript,26,ZeroPointRepo/youtube-skills,24,61,6,,
JavaScript,27,hexianWeb/Third-Person-MC,24,15,5,,
JavaScript,28,wasintoh/toh-framework,24,73,16,,
JavaScript,29,radioactive-labs/plutonium-core,23,56,7,,
JavaScript,30,telagod/code-abyss,21,79,7,,
JavaScript,31,xiaobei930/cc-best,19,25,0,,
JavaScript,32,Yangchengshuai/Aerotri-Web,18,15,5,,
JavaScript,33,bradygaster/squad,18,347,36,,
JavaScript,34,NASA-AMMOS/slim,17,31,14,,
JavaScript,35,liyecom/liye-ai,17,33,4,,
JavaScript,36,mapbox/mapbox-agent-skills,17,11,0,,
JavaScript,37,jongwony/epistemic-protocols,16,46,4,,
JavaScript,38,Project-N-E-K-O/N.E.K.O,15,683,94,,
JavaScript,39,adobe/helix-website,15,38,55,,
JavaScript,40,gleanwork/claude-plugins,15,12,1,,
JavaScript,41,ognjengt/founder-skills,15,82,7,,
JavaScript,42,waynesutton/convexskills,14,334,26,,
JavaScript,43,UseAI-pro/openclaw-skills-security,13,20,1,,
JavaScript,44,anysiteio/agent-skills,13,13,4,,
JavaScript,45,rstackjs/agent-skills,13,14,0,,
JavaScript,46,xenitV1/claude-code-maestro,13,202,29,,
JavaScript,47,yorkeccak/scientific-skills,13,17,2,,
JavaScript,48,zylos-ai/zylos-core,13,805,79,,
JavaScript,49,block/goosetown,12,40,5,,
JavaScript,50,leonardomso/33-js-concepts,12,66256,9192,,
JavaScript,51,sailscastshq/boring-stack,12,485,24,,
JavaScript,52,angular/dev-infra,11,71,61,,
JavaScript,53,expo/skills,11,1160,47,,
JavaScript,54,FHIR/sql-on-fhir-v2,10,126,34,,
JavaScript,55,alchaincyf/glm-claude,10,31,2,,
JavaScript,56,hamr0/liteagents,10,11,2,,
JavaScript,57,unclecatvn/agent-skills,10,12,4,,
JavaScript,58,akiojin/unity-mcp-server,9,22,6,,
JavaScript,59,coinbase/agentic-wallet-skills,9,64,24,,
JavaScript,60,paralleldrive/aidd,9,244,17,,
JavaScript,61,suyashb734/cliagents,9,14,2,,
JavaScript,62,Joncik91/ucai,8,26,2,,
JavaScript,63,MetalLegBob/solana-vibes-kit,8,13,0,,
JavaScript,64,ab604/claude-code-r-skills,8,37,2,,
JavaScript,65,badlogic/pi-skills,8,613,65,,
JavaScript,66,danielmiessler/PAIPlugin,8,39,6,,
JavaScript,67,ibreez3/xiaohongshu-skill,8,14,5,,
JavaScript,68,joshtol/emotive-engine,8,11,1,,
JavaScript,69,popmechanic/vibes-cli,8,15,2,,
JavaScript,70,shinpr/agentic-code,8,34,3,,
JavaScript,71,stephengpope/thepopebot,8,765,390,,
JavaScript,72,vercel/next.js,8,137982,30512,,
JavaScript,73,balintbrews/canvas-starter,7,12,0,,
JavaScript,74,facebook/react,7,243360,50626,,
JavaScript,75,firebase/agent-skills,7,126,3,,
JavaScript,76,influxdata/docs-v2,7,80,325,,
JavaScript,77,irahardianto/awesome-agv,7,105,34,,
JavaScript,78,itz4blitz/agentful,7,12,7,,
JavaScript,79,jdubray/puffin,7,16,4,,
JavaScript,80,josstei/maestro-gemini,7,49,1,,
JavaScript,81,Ratler/dream-team,6,12,2,,
JavaScript,82,antvis/chart-visualization-skills,6,20,2,,
JavaScript,83,caretive-ai/project-careti,6,46,10,,
JavaScript,84,heyitsnoah/claudesidian,6,1841,146,,
JavaScript,85,nabondance/Trailhead-Banner,6,46,1,,
JavaScript,86,TheQmaks/areclaw,5,19,2,,
JavaScript,87,atlassian/atlassian-mcp-server,5,346,39,,
JavaScript,88,awslabs/agent-plugins,5,131,18,,
JavaScript,89,axivo/claude,5,57,21,,
JavaScript,90,kazuph/reviw,5,17,0,,
JavaScript,91,lackeyjb/claude-conductor,5,11,2,,
JavaScript,92,littleben/awesomeAgentskills,5,145,22,,
JavaScript,93,mikkelkrogsholm/ai-laegens-bord,5,37,3,,
JavaScript,94,peterfei/ai-agent-team,5,274,34,,
JavaScript,95,sinewaveai/agent-security-scanner-mcp,5,58,5,,
JavaScript,96,taco-devs/clawkeep,5,109,0,,
JavaScript,97,Codename-Inc/spectre,4,106,11,,
JavaScript,98,Purple-Horizons/tick-md,4,12,0,,
JavaScript,99,TryGhost/Ghost,4,51905,11339,,
JavaScript,100,apify/apify-docs,4,62,173,,
PHP,1,AuroraWebSoftware/AAuth,21,41,7,,
PHP,2,leeovery/claude-laravel,21,16,5,,
PHP,3,bnomei/kirby-mcp,15,36,1,,
PHP,4,coollabsio/coolify,15,51056,3684,,
PHP,5,iSerter/laravel-claude-agents,15,18,4,,
PHP,6,paid-tw/skills,15,205,16,,
PHP,7,Automattic/wordpress-activitypub,14,561,85,,
PHP,8,JaguarJack/catch-admin,10,889,137,,
PHP,9,unopim/unopim,7,9113,117,,
PHP,10,daveroverts/bmac,6,11,13,,
PHP,11,laravel/boost,6,3291,274,,
PHP,12,anilcancakir/laravel-ai-sdk-skills,5,12,1,,
PHP,13,hotwired-laravel/turbo-laravel,5,837,53,,
PHP,14,vizra-ai/vizra-adk,5,286,32,,
PHP,15,MohmmedAshraf/laravel-translations,4,799,116,,
PHP,16,spatie/freek.dev,4,642,156,,
PHP,17,Chemaclass/unspent,3,14,0,,
PHP,18,KeygraphHQ/xbow-validation-benchmarks,3,19,4,,
PHP,19,lauroguedes/mary-ui-starter-kit,3,26,4,,
PHP,20,livewire/livewire,3,23448,1726,,
PHP,21,ludoguenet/laravel-zap,3,1407,100,,
PHP,22,raphaelstolt/lean-package-validator,3,15,7,,
PHP,23,raugadh/fila-starter,3,60,7,,
PHP,24,shopperlabs/shopper,3,1064,166,,
PHP,25,TypiCMS/Base,2,1599,494,,
PHP,26,filamentphp/demo,2,1180,550,,
PHP,27,herkobi/saas,2,22,0,,
PHP,28,mglaman/phpstan-drupal,2,207,81,,
PHP,29,phpstan/phpstan,2,13834,943,,
PHP,30,ploi/roadmap,2,554,114,,
PHP,31,sauce-base/saucebase,2,18,5,,
PHP,32,tallstackui/tallstackui,2,696,68,,
PHP,33,yamadashy/phpstan-friendly-formatter,2,63,5,,
PHP,34,ChurchCRM/CRM,1,818,514,,
PHP,35,Soneso/stellar-php-sdk,1,40,19,,
PHP,36,ahmedesa/laravel-api-tool-kit,1,517,54,,
PHP,37,byjg/php-rest-reference-architecture,1,17,6,,
PHP,38,duxweb/dux-lite,1,14,3,,
PHP,39,foxbytehq/laravel-inertia-dataproviders,1,25,1,,
PHP,40,glhd/aire,1,544,40,,
PHP,41,inerba/filament-db-config,1,29,1,,
PHP,42,iurygdeoliveira/labSIS-KIT,1,31,15,,
PHP,43,jeffersongoncalves/filament-service-desk,1,10,0,,
PHP,44,knuckleswtf/scribe,1,2256,358,,
PHP,45,laravel/ai,1,557,118,,
PHP,46,laravel/fortify,1,1723,329,,
PHP,47,laravel/pennant,1,568,62,,
PHP,48,laravel/socialite,1,5735,958,,
PHP,49,ohdearapp/ohdear-cli,1,138,3,,
PHP,50,open-runtimes/open-runtimes,1,273,69,,
PHP,51,phpstan/phpstan-src,1,385,553,,
PHP,52,prism-php/prism,1,2306,266,,
PHP,53,relaticle/flowforge,1,375,42,,
PHP,54,saloonphp/laravel-plugin,1,70,18,,
PHP,55,scify/laravel-cookie-guard,1,136,4,,
PHP,56,spatie/laravel-backup,1,5944,794,,
PHP,57,spatie/laravel-medialibrary,1,6094,1101,,
PHP,58,spatie/laravel-og-image,1,11,0,,
PHP,59,spatie/laravel-pdf,1,971,85,,
PHP,60,spatie/laravel-permission,1,12838,1824,,
PHP,61,spatie/laravel-ray,1,316,72,,
PHP,62,spatie/laravel-responsecache,1,2758,241,,
PHP,63,spatie/laravel-screenshot,1,73,3,,
PHP,64,viames/pair,1,10,2,,
Python,1,majiayu000/claude-skill-registry,24175,93,13,,
Python,2,sickn33/antigravity-awesome-skills,1272,15406,2833,,
Python,3,davila7/claude-code-templates,707,21293,1989,,
Python,4,mukul975/Anthropic-Cybersecurity-Skills,611,12,2,,
Python,5,melodic-software/claude-code-plugins,499,28,5,,
Python,6,omer-metin/skills-for-antigravity,460,23,5,,
Python,7,GPTomics/bioSkills,426,283,49,,
Python,8,hainamchung/agent-assistant,327,26,11,,
Python,9,DNYoussef/context-cascade,252,20,6,,
