rank,repo,skill_count,mainLanguage,stars,forks,commits,contributors
389,leonardomso/33-js-concepts,12,JavaScript,66256,9192,,
390,dartsim/dart,12,C++,1058,296,,
391,letta-ai/letta-code,12,TypeScript,1663,167,,
392,masumi-network/sokosumi,12,TypeScript,11,3,,
393,sailscastshq/boring-stack,12,JavaScript,485,24,,
394,AIDotNet/OpenCowork,12,TypeScript,50,15,,
395,BrownFineSecurity/iothackbot,12,Python,652,101,,
396,majiayu000/litellm-rs,11,Rust,20,4,,
397,ImGoodBai/goodable,11,TypeScript,147,30,,
398,mitchdenny/hex1b,11,C#,101,5,,
399,luke-h1/foam,11,TypeScript,10,0,,
400,pipecat-ai/gradient-bang,11,TypeScript,45,7,,
401,revokslab/ShipFree,11,TypeScript,1606,455,,
402,tursodatabase/turso,11,Rust,17519,744,,
403,countbot-ai/CountBot,11,Python,110,17,,
404,Safphere/opencowork,11,TypeScript,265,46,,
405,meta-pytorch/OpenEnv,11,Python,1174,185,,
406,getsentry/sentry-javascript,11,TypeScript,8590,1755,,
407,CooperAgent/cooper,11,TypeScript,62,8,,
408,nanvix/nanvix,11,Rust,207,104,,
409,devantler-tech/ksail,11,Go,133,5,,
410,epicweb-dev/epic-stack,11,TypeScript,5534,461,,
411,microsoft/semantic-link-labs,11,Python,474,166,,
412,actionbook/actionbook,11,TypeScript,1216,94,,
413,SpartanLabsXyz/simmer-sdk,11,Python,26,7,,
414,csharpfritz/SquadUI,11,TypeScript,13,4,,
415,cluesmith/codev,11,TypeScript,214,29,,
416,DolbonIn/ultraworker,11,Python,10,1,,
417,leboncoin/spark-web,11,TypeScript,87,21,,
418,antinomyhq/forge,11,Rust,4562,1164,,
419,streamlit/streamlit,11,Python,43618,4093,,
420,openbotx/openbotx,11,Python,21,7,,
421,OriNachum/reachy-nova,11,Python,11,1,,
422,goern/forgejo-mcp,11,Go,30,7,,
423,QingJ01/Axiom,11,Python,18,2,,
424,angular/dev-infra,11,JavaScript,71,61,,
425,open-mercato/open-mercato,11,TypeScript,944,154,,
426,eser/aya.is,11,Go,54,23,,
427,openshift/hypershift,11,Go,511,446,,
